Layer1	Layer2	CKA_Value
spatio_temporal	spatio_temporal	0.9496690421848074
spatio_temporal	pool	0.03887287217062622
spatio_temporal	dropout	0.03887287217062622
spatio_temporal	projection	0.03139443117049488
spatio_temporal	batch_norm	0.879735323400514
spatio_temporal	fc	0.012753807802923966
pool	spatio_temporal	0.04000385011081324
pool	pool	0.9934539593131183
pool	dropout	0.9934539593131183
pool	projection	0.985068070349792
pool	batch_norm	0.03377460988261603
pool	fc	0.42519085033246873
dropout	spatio_temporal	0.04000385011081324
dropout	pool	0.9934539593131183
dropout	dropout	0.9934539593131183
dropout	projection	0.985068070349792
dropout	batch_norm	0.03377460988261603
dropout	fc	0.42519085033246873
projection	spatio_temporal	0.030390630325534556
projection	pool	0.9791951030812622
projection	dropout	0.9791951030812622
projection	projection	0.9907415733395988
projection	batch_norm	0.025354808070027112
projection	fc	0.4544501316694904
batch_norm	spatio_temporal	0.935344744603048
batch_norm	pool	0.0331891083037442
batch_norm	dropout	0.0331891083037442
batch_norm	projection	0.026950886370944782
batch_norm	batch_norm	0.9887062977134057
batch_norm	fc	0.012324500513149416
fc	spatio_temporal	0.012744263547028576
fc	pool	0.44123839542440113
fc	dropout	0.44123839542440113
fc	projection	0.48117002202692394
fc	batch_norm	0.011893104652577178
fc	fc	0.9540354839388798
spatio_temporal	spatio_temporal	0.9732507501173523
spatio_temporal	pool	0.04151913837789744
spatio_temporal	dropout	0.04151913837789744
spatio_temporal	projection	0.03194996063464631
spatio_temporal	batch_norm	0.892703855100925
spatio_temporal	fc	0.013629445369711978
pool	spatio_temporal	0.042984777076895964
pool	pool	0.9932093127350412
pool	dropout	0.9932093127350412
pool	projection	0.9782208105450838
pool	batch_norm	0.03523513125727518
pool	fc	0.49048915695977735
dropout	spatio_temporal	0.042984777076895964
dropout	pool	0.9932093127350412
dropout	dropout	0.9932093127350412
dropout	projection	0.9782208105450838
dropout	batch_norm	0.03523513125727518
dropout	fc	0.49048915695977735
projection	spatio_temporal	0.03280560535810855
projection	pool	0.9776479826566561
projection	dropout	0.9776479826566561
projection	projection	0.9897796940299342
projection	batch_norm	0.02656951523558889
projection	fc	0.5241287234379772
batch_norm	spatio_temporal	0.9253668886423355
batch_norm	pool	0.03505838010998957
batch_norm	dropout	0.03505838010998957
batch_norm	projection	0.02730090279053206
batch_norm	batch_norm	0.9891508444354964
batch_norm	fc	0.012873045221444156
fc	spatio_temporal	0.01310861089600313
fc	pool	0.45264950186184344
fc	dropout	0.45264950186184344
fc	projection	0.4997000998041467
fc	batch_norm	0.012403163765682994
fc	fc	0.9350397384801158
spatio_temporal	spatio_temporal	0.9800018185190331
spatio_temporal	pool	0.03964230209717678
spatio_temporal	dropout	0.03964230209717678
spatio_temporal	projection	0.030271520915166675
spatio_temporal	batch_norm	0.8836915608324362
spatio_temporal	fc	0.013011875680987432
pool	spatio_temporal	0.039846861835881396
pool	pool	0.9938958983915451
pool	dropout	0.9938958983915451
pool	projection	0.9802616215122015
pool	batch_norm	0.03380821476242277
pool	fc	0.4713743195981101
dropout	spatio_temporal	0.039846861835881396
dropout	pool	0.9938958983915451
dropout	dropout	0.9938958983915451
dropout	projection	0.9802616215122015
dropout	batch_norm	0.03380821476242277
dropout	fc	0.4713743195981101
projection	spatio_temporal	0.03030530506078224
projection	pool	0.9813859146024735
projection	dropout	0.9813859146024735
projection	projection	0.9918890001956956
projection	batch_norm	0.025460546846739738
projection	fc	0.5021024903076281
batch_norm	spatio_temporal	0.9295472634704037
batch_norm	pool	0.03363055014519943
batch_norm	dropout	0.03363055014519943
batch_norm	projection	0.025876587343456815
batch_norm	batch_norm	0.9877680463097231
batch_norm	fc	0.01225158519865168
fc	spatio_temporal	0.012589097725068076
fc	pool	0.4555105210789758
fc	dropout	0.4555105210789758
fc	projection	0.49605864563202334
fc	batch_norm	0.011758756747115962
fc	fc	0.9445148967286568
spatio_temporal	spatio_temporal	0.957408327986571
spatio_temporal	pool	0.039948968520978144
spatio_temporal	dropout	0.039948968520978144
spatio_temporal	projection	0.03089071392672981
spatio_temporal	batch_norm	0.8777522262507969
spatio_temporal	fc	0.012555181430423959
pool	spatio_temporal	0.03988803909428382
pool	pool	0.9929507800060189
pool	dropout	0.9929507800060189
pool	projection	0.9805359160281004
pool	batch_norm	0.03429376095109195
pool	fc	0.4026717829380905
dropout	spatio_temporal	0.03988803909428382
dropout	pool	0.9929507800060189
dropout	dropout	0.9929507800060189
dropout	projection	0.9805359160281004
dropout	batch_norm	0.03429376095109195
dropout	fc	0.4026717829380905
projection	spatio_temporal	0.0300867291212247
projection	pool	0.9799518550199051
projection	dropout	0.9799518550199051
projection	projection	0.992585504308952
projection	batch_norm	0.025750868283344844
projection	fc	0.4305997657586763
batch_norm	spatio_temporal	0.9406840614518535
batch_norm	pool	0.03401336739056187
batch_norm	dropout	0.03401336739056187
batch_norm	projection	0.026369834890959794
batch_norm	batch_norm	0.9859424822592453
batch_norm	fc	0.011873643898826709
fc	spatio_temporal	0.012893584514998859
fc	pool	0.4513266299612381
fc	dropout	0.4513266299612381
fc	projection	0.49826882450089455
fc	batch_norm	0.01223646707600935
fc	fc	0.9486908457242582
spatio_temporal	spatio_temporal	0.9683808908268976
spatio_temporal	pool	0.042218398461344425
spatio_temporal	dropout	0.042218398461344425
spatio_temporal	projection	0.03162095091275632
spatio_temporal	batch_norm	0.8966696243481151
spatio_temporal	fc	0.013681187133709409
pool	spatio_temporal	0.04198036204774688
pool	pool	0.9920956224529387
pool	dropout	0.9920956224529387
pool	projection	0.9833986859736492
pool	batch_norm	0.03546746451889597
pool	fc	0.4997494244849783
dropout	spatio_temporal	0.04198036204774688
dropout	pool	0.9920956224529387
dropout	dropout	0.9920956224529387
dropout	projection	0.9833986859736492
dropout	batch_norm	0.03546746451889597
dropout	fc	0.4997494244849783
projection	spatio_temporal	0.0316054450202973
projection	pool	0.976735283776319
projection	dropout	0.976735283776319
projection	projection	0.9917474782147189
projection	batch_norm	0.02660320438856434
projection	fc	0.5333591284914388
batch_norm	spatio_temporal	0.9132840241299809
batch_norm	pool	0.03562885634506096
batch_norm	dropout	0.03562885634506096
batch_norm	projection	0.02666226855415254
batch_norm	batch_norm	0.9836315812857467
batch_norm	fc	0.012982710991095549
fc	spatio_temporal	0.013084780316895027
fc	pool	0.44761927634033627
fc	dropout	0.44761927634033627
fc	projection	0.4871317582281392
fc	batch_norm	0.01255966113738813
fc	fc	0.9422511909676848
spatio_temporal	spatio_temporal	0.9574965032683167
spatio_temporal	pool	0.042245546267874405
spatio_temporal	dropout	0.042245546267874405
spatio_temporal	projection	0.032636699391451016
spatio_temporal	batch_norm	0.9069074546416063
spatio_temporal	fc	0.01410638673375371
pool	spatio_temporal	0.04199500571393383
pool	pool	0.9947484752269145
pool	dropout	0.9947484752269145
pool	projection	0.9854591489863473
pool	batch_norm	0.03589167782466261
pool	fc	0.5068829607878153
dropout	spatio_temporal	0.04199500571393383
dropout	pool	0.9947484752269145
