Layer1	Layer2	CKA_Value
temporal	temporal	0.9895730668503572
temporal	spatial	0.7193352383080256
temporal	pool	0.024505562156048672
temporal	dropout	0.024505562156048672
temporal	projection	0.02099460272898261
temporal	batch_norm	0.5648432677242354
temporal	fc	0.011163724515392704
spatial	temporal	0.7120378168924109
spatial	spatial	0.9589343819386517
spatial	pool	0.037642931524642834
spatial	dropout	0.037642931524642834
spatial	projection	0.03253589609795655
spatial	batch_norm	0.9025241351388964
spatial	fc	0.014847641513513775
pool	temporal	0.02809335577953698
pool	spatial	0.03718754813777615
pool	pool	0.9830204595832011
pool	dropout	0.9830204595832011
pool	projection	0.9547771626427929
pool	batch_norm	0.23694444895978062
pool	fc	0.398564673841101
dropout	temporal	0.02809335577953698
dropout	spatial	0.03718754813777615
dropout	pool	0.9830204595832011
dropout	dropout	0.9830204595832011
dropout	projection	0.9547771626427929
dropout	batch_norm	0.23694444895978062
dropout	fc	0.398564673841101
projection	temporal	0.025176145251343603
projection	spatial	0.03304701077939305
projection	pool	0.9675887745955039
projection	dropout	0.9675887745955039
projection	projection	0.9831494870353938
projection	batch_norm	0.22949721702001785
projection	fc	0.4654400766186138
batch_norm	temporal	0.5554044009165564
batch_norm	spatial	0.8970002232990109
batch_norm	pool	0.2252466745567815
batch_norm	dropout	0.2252466745567815
batch_norm	projection	0.21503773682783628
batch_norm	batch_norm	0.9635614716176293
batch_norm	fc	0.09125961098604568
fc	temporal	0.011667359979737023
fc	spatial	0.014321474582274979
fc	pool	0.435862501928543
fc	dropout	0.435862501928543
fc	projection	0.48951909386376313
fc	batch_norm	0.10198674235731488
fc	fc	0.9342629158546691
temporal	temporal	0.9948503069499942
temporal	spatial	0.6998791599987518
temporal	pool	0.025589709974691358
temporal	dropout	0.025589709974691358
temporal	projection	0.021851376084767615
temporal	batch_norm	0.5613198216653964
temporal	fc	0.010408471895482963
spatial	temporal	0.7087471883517001
spatial	spatial	0.9646571396102916
spatial	pool	0.03940324572466409
spatial	dropout	0.03940324572466409
spatial	projection	0.033735721079657596
spatial	batch_norm	0.9079025965749259
spatial	fc	0.013785054569446304
pool	temporal	0.02741998577099093
pool	spatial	0.03791203591576875
pool	pool	0.9744274956118507
pool	dropout	0.9744274956118507
pool	projection	0.948154992987401
pool	batch_norm	0.2146991183281499
pool	fc	0.3720355855415713
dropout	temporal	0.02741998577099093
dropout	spatial	0.03791203591576875
dropout	pool	0.9744274956118507
dropout	dropout	0.9744274956118507
dropout	projection	0.948154992987401
dropout	batch_norm	0.2146991183281499
dropout	fc	0.3720355855415713
projection	temporal	0.024586838329838323
projection	spatial	0.03361266997435738
projection	pool	0.9622633240141499
projection	dropout	0.9622633240141499
projection	projection	0.9793100623984812
projection	batch_norm	0.20817411117972234
projection	fc	0.43619378828029903
batch_norm	temporal	0.5561563430509351
batch_norm	spatial	0.9122270860936876
batch_norm	pool	0.2248404146131228
batch_norm	dropout	0.2248404146131228
batch_norm	projection	0.2147902280294569
batch_norm	batch_norm	0.9622731129512762
batch_norm	fc	0.0849196380411746
fc	temporal	0.011655774127289294
fc	spatial	0.014465468676696394
fc	pool	0.43787160667579955
fc	dropout	0.43787160667579955
fc	projection	0.4867630908358641
fc	batch_norm	0.09351533953519987
fc	fc	0.9077511264373196
temporal	temporal	0.9958641151640139
temporal	spatial	0.6415473824730585
temporal	pool	0.02523110167786433
temporal	dropout	0.02523110167786433
temporal	projection	0.021802681349308406
temporal	batch_norm	0.5240702345108559
temporal	fc	0.012011248125666273
spatial	temporal	0.7058313862805629
spatial	spatial	0.9609494276586112
spatial	pool	0.038684652284922176
spatial	dropout	0.038684652284922176
spatial	projection	0.03363285844121994
spatial	batch_norm	0.8926749700245772
spatial	fc	0.01625887979412628
pool	temporal	0.027157460865869804
pool	spatial	0.036428426250879616
pool	pool	0.9855330415215388
pool	dropout	0.9855330415215388
pool	projection	0.9467968737326833
pool	batch_norm	0.22538514286330735
pool	fc	0.43631249423360113
dropout	temporal	0.027157460865869804
dropout	spatial	0.036428426250879616
dropout	pool	0.9855330415215388
dropout	dropout	0.9855330415215388
dropout	projection	0.9467968737326833
dropout	batch_norm	0.22538514286330735
dropout	fc	0.43631249423360113
projection	temporal	0.024348682124385228
projection	spatial	0.03230200404427504
projection	pool	0.9670129634307094
projection	dropout	0.9670129634307094
projection	projection	0.9847441780149001
projection	batch_norm	0.21773846579751274
projection	fc	0.5041928927187149
batch_norm	temporal	0.5561967491228712
batch_norm	spatial	0.9234527006278843
batch_norm	pool	0.22641253141962805
batch_norm	dropout	0.22641253141962805
batch_norm	projection	0.2142434452952825
batch_norm	batch_norm	0.9667115436831871
batch_norm	fc	0.09984469312513439
