Layer1	Layer2	CKA_Value
temporal	temporal	0.9989919759713772
temporal	spatial	0.5294115425230067
temporal	pool	0.02557871271698001
temporal	dropout	0.02557871271698001
temporal	batch_norm	0.40760122511018737
temporal	fc	0.011223695734869277
spatial	temporal	0.5121349615701213
spatial	spatial	0.9802404915631174
spatial	pool	0.036588706779090395
spatial	dropout	0.036588706779090395
spatial	batch_norm	0.804955404573853
spatial	fc	0.018531769216360242
pool	temporal	0.02520753863031464
pool	spatial	0.035286662393788464
pool	pool	0.9845248319471938
pool	dropout	0.9845248319471938
pool	batch_norm	0.392694566957832
pool	fc	0.6221395648329766
dropout	temporal	0.02520753863031464
dropout	spatial	0.035286662393788464
dropout	pool	0.9845248319471938
dropout	dropout	0.9845248319471938
dropout	batch_norm	0.392694566957832
dropout	fc	0.6221395648329766
batch_norm	temporal	0.3820009711749431
batch_norm	spatial	0.7721541485194935
batch_norm	pool	0.4235299800624021
batch_norm	dropout	0.4235299800624021
batch_norm	batch_norm	0.9479880611505557
batch_norm	fc	0.25883362790178943
fc	temporal	0.011351916967427416
fc	spatial	0.018795528434747893
fc	pool	0.6435486747599065
fc	dropout	0.6435486747599065
fc	batch_norm	0.24753442182482024
fc	fc	0.9544973254753303
temporal	temporal	0.9951252350779489
temporal	spatial	0.5260002316682408
temporal	pool	0.026012390762262964
temporal	dropout	0.026012390762262964
temporal	batch_norm	0.41866832270676596
temporal	fc	0.011304548104977294
spatial	temporal	0.5222730792997168
spatial	spatial	0.9743088559296308
spatial	pool	0.036536948340226034
spatial	dropout	0.036536948340226034
spatial	batch_norm	0.7964417286648792
spatial	fc	0.01836643868905695
pool	temporal	0.025941138420030593
pool	spatial	0.03616612310683521
pool	pool	0.978719876905443
pool	dropout	0.978719876905443
pool	batch_norm	0.39080363749602076
pool	fc	0.6140582182624742
dropout	temporal	0.025941138420030593
dropout	spatial	0.03616612310683521
dropout	pool	0.978719876905443
dropout	dropout	0.978719876905443
dropout	batch_norm	0.39080363749602076
dropout	fc	0.6140582182624742
batch_norm	temporal	0.3886260530496219
batch_norm	spatial	0.7808595558248568
batch_norm	pool	0.4208481757513693
batch_norm	dropout	0.4208481757513693
batch_norm	batch_norm	0.9441046536808767
batch_norm	fc	0.25475837898919945
fc	temporal	0.011628843053877312
fc	spatial	0.019410193870017557
fc	pool	0.6384917790512626
fc	dropout	0.6384917790512626
fc	batch_norm	0.245852977092487
fc	fc	0.94149797219203
temporal	temporal	0.9998041527356913
temporal	spatial	0.5069877166926103
temporal	pool	0.02590341870708833
temporal	dropout	0.02590341870708833
temporal	batch_norm	0.3937245851049481
temporal	fc	0.010893226849480183
spatial	temporal	0.5116090821220285
spatial	spatial	0.980816872137123
spatial	pool	0.03680156644949398
spatial	dropout	0.03680156644949398
spatial	batch_norm	0.8001242829364653
spatial	fc	0.01781950547904726
pool	temporal	0.025211585348163906
pool	spatial	0.034635668977711274
pool	pool	0.987890766320054
pool	dropout	0.987890766320054
pool	batch_norm	0.4033887185673429
pool	fc	0.6206923498328242
dropout	temporal	0.025211585348163906
dropout	spatial	0.034635668977711274
dropout	pool	0.987890766320054
dropout	dropout	0.987890766320054
dropout	batch_norm	0.4033887185673429
dropout	fc	0.6206923498328242
batch_norm	temporal	0.38104158283510675
batch_norm	spatial	0.7766399539038091
batch_norm	pool	0.4264621448422198
batch_norm	dropout	0.4264621448422198
batch_norm	batch_norm	0.9600983017150332
batch_norm	fc	0.2580756664034917
fc	temporal	0.011279137521848918
fc	spatial	0.01868796422400803
fc	pool	0.6434151638284962
fc	dropout	0.6434151638284962
fc	batch_norm	0.2538395349682753
fc	fc	0.9640262907017417
temporal	temporal	0.9987494296833063
temporal	spatial	0.557473330087937
temporal	pool	0.025902754008714047
temporal	dropout	0.025902754008714047
temporal	batch_norm	0.4317725786135201
temporal	fc	0.011144980032352928
spatial	temporal	0.51535394896853
spatial	spatial	0.9827545123578909
spatial	pool	0.03572898516775079
spatial	dropout	0.03572898516775079
spatial	batch_norm	0.8063152290945512
